epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,29234,0.37773,0.16036,0.00122,0.99465,0.98885,0.99463,0.97229,0.24863,0.09278,0.00121,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,29594,0.37334,0.15395,0.00121,0.99377,0.98973,0.99463,0.97305,0.24824,0.09347,0.0012,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,29953.1,0.375,0.15506,0.00121,0.99339,0.99023,0.99465,0.97324,0.24769,0.09294,0.0012,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,30318.2,0.37723,0.15658,0.0012,0.99326,0.99051,0.99463,0.9734,0.24758,0.09285,0.0012,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,30687.7,0.37422,0.15359,0.00119,0.994,0.99028,0.99464,0.97331,0.24723,0.09273,0.0012,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,31046.2,0.37272,0.15194,0.0012,0.99401,0.99103,0.9946,0.97328,0.24779,0.09227,0.0012,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,31404.9,0.37078,0.15253,0.00119,0.9936,0.99068,0.99459,0.97239,0.24764,0.09345,0.0012,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,31764.7,0.38379,0.15772,0.00121,0.9931,0.99184,0.99457,0.97315,0.24749,0.09373,0.0012,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,32138.1,0.37431,0.1521,0.00121,0.9925,0.99195,0.99458,0.97238,0.24713,0.09252,0.0012,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,32498.5,0.36954,0.15264,0.00119,0.99378,0.9913,0.99456,0.973,0.24708,0.09269,0.0012,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
